grid_id,x,y,mean_activity,median_activity,std_activity,min_activity,max_activity,mean_inflow,median_inflow,std_inflow,min_inflow,max_inflow,pre_activity_mean,pre_activity_median,pre_activity_std,pre_mean_inflow,pre_median_inflow,pre_std_inflow,pre_active_ratio,january_activity_mean,january_activity_median,january_activity_std,january_mean_inflow,january_median_inflow,january_std_inflow,post_activity_mean,post_activity_median,post_activity_std,post_mean_inflow,post_median_inflow,post_std_inflow,impact_ratio,recovery_ratio,pre_act,pre_inf,jan_act,jan_inf,post_act,post_inf,pre_total,jan_total,post_total,final_class,class_id,class_display
-1_-1,-1,-1,28658.923166265417,28371.57436999096,2260.2335899771647,23691.27353720977,37314.19835435386,197.58544030891272,198.7518161805776,24.14218513483607,137.4104469802212,289.25669105961583,28620.3550124106,27863.957775409377,1726.3661802491613,208.528298016672,211.7604664243072,25.49615789005045,1.0,25975.13435245299,25755.7275018377,1305.1340189810503,188.930871520064,190.6142257910389,26.02872511844596,29026.679200050698,28639.46241735532,2244.0903937568723,195.9255051178116,195.2171365195191,22.702627347459963,-0.0939796936109086,0.3569157424726582,28620.355012410597,208.52829801667198,25975.13435245299,188.93087152006396,29026.679200050698,195.92550511781158,28828.883310427267,26164.065223973055,29222.60470516851,True Stable,Class_07,Class 07: True Stable
10_100,10,100,2.9071343749779808,2.59415490358714,1.3936949079326846,0.9771799718253074,7.391853442200288,0.0211930017141385,0.0,0.142987968415241,0.0,1.053529017800643,2.712379534562339,2.4575740906260406,1.4329550150225931,0.024500674832573,0.0,0.1606616690185112,0.0232558139534883,2.6785556121414715,3.01983886121197,1.1108024911072842,0.0,0.0,0.0,2.9860242681363,2.647960376675363,1.4143464033140771,0.0230063136417087,0.0,0.1474260239968235,-0.9995920144970178,0.9386242442878336,2.712379534562339,0.02450067483257309,2.6785556121414715,0.0,2.9860242681363,0.02300631364170874,2.7368802093949123,2.6785556121414715,3.0090305817780085,True Stable,Class_07,Class 07: True Stable
10_11,10,11,1.7203375459570016,1.7203375459570016,,1.7203375459570016,1.7203375459570016,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,1.7203375459570016,1.7203375459570016,,0.0,0.0,,,,,,,,,,,,,Persistent Zero,Class_01,Class 01: Persistent Zero
10_12,10,12,1.5649728560826066,1.5649728560826066,0.2684014341593339,1.375184381908347,1.754761330256866,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.5649728560826066,1.5649728560826066,0.2684014341593339,0.0,0.0,0.0,,,,,,,,,,,,Persistent Zero,Class_01,Class 01: Persistent Zero
10_13,10,13,1.3434666049986888,1.4093898423773132,0.1556712334241214,1.0859714807839995,1.4567559725507688,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.3434666049986888,1.4093898423773132,0.1556712334241214,0.0,0.0,0.0,,,,,,,,,,,,Persistent Zero,Class_01,Class 01: Persistent Zero
10_14,10,14,1.1105792460335653,1.1105792460335653,0.1627462200391532,0.995500290231402,1.2256582018357285,0.0,0.0,0.0,0.0,0.0,0.995500290231402,0.995500290231402,,0.0,0.0,,0.0,,,,,,,1.2256582018357285,1.2256582018357285,,0.0,0.0,,,,,,,,,,,,,Persistent Zero,Class_01,Class 01: Persistent Zero
10_15,10,15,1.0367498019395829,1.0367498019395829,,1.0367498019395829,1.0367498019395829,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,1.0367498019395829,1.0367498019395829,,0.0,0.0,,,,,,,,,,,,,Persistent Zero,Class_01,Class 01: Persistent Zero
10_16,10,16,1.395506343944656,1.241123063975183,0.4517662288751532,0.9793256946331164,2.192309453152504,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.395506343944656,1.241123063975183,0.4517662288751532,0.0,0.0,0.0,,,,,,,,,,,,Persistent Zero,Class_01,Class 01: Persistent Zero
10_17,10,17,1.7017749019196569,1.8782967202760807,0.6389025319777095,0.9473040044040032,2.5625091932961,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.7017749019196569,1.8782967202760807,0.6389025319777095,0.0,0.0,0.0,,,,,,,,,,,,Persistent Zero,Class_01,Class 01: Persistent Zero
10_18,10,18,16.83836852084243,19.03802196475222,7.792236637126512,1.0595124471526536,41.043385838468126,0.2073841633778934,0.0,0.4735090347868997,0.0,2.8072394134339387,16.825017502838577,18.943585110631584,7.723658444459352,0.153522251829144,0.0,0.3998926020617918,0.1320754716981132,14.653444029002346,17.61478941407325,9.330661439650056,0.2412422322319551,0.0,0.5294711695703392,17.112252524375982,19.717046890746392,7.59897655174121,0.2167859325296939,0.0,0.4844301122675261,0.5713456251552209,0.2788314350310522,16.825017502838577,0.15352225182914406,14.653444029002346,0.24124223223195518,17.112252524375982,0.2167859325296939,16.97853975466772,14.894686261234302,17.329038456905675,Recovered,Class_06,Class 06: Recovered
10_19,10,19,54.03999822918968,60.11185464854242,16.86257382024357,17.498803852355415,88.34809566533411,1.975490223092324,1.7144961398499283,1.378095348310576,0.0,10.263830270714337,54.44855225019982,61.646497077341095,18.135577854080378,1.7482371854675705,1.277037288489125,1.395462244387691,0.7962962962962963,45.9655597900496,48.1892024539684,18.699960477300795,1.5897040681643155,1.3834758377091625,1.2032429886028904,55.01153327281527,60.02769577567313,16.04998508180849,2.085364872471948,1.9009433393116468,1.3849193674437574,-0.0906811797674109,3.126347032520823,54.44855225019982,1.7482371854675705,45.9655597900496,1.5897040681643155,55.01153327281527,2.0853648724719474,56.19678943566739,47.55526385821392,57.09689814528722,Recovered,Class_06,Class 06: Recovered
10_20,10,20,140.6673972136513,147.45701357413083,37.73587405140937,69.4040166922402,438.5249680498608,9.47405093029038,9.520533528818852,3.729397731090117,2.366001986657948,49.62731119905832,135.4458531196047,142.8184028484541,31.242567423636206,8.848960673020823,8.7690315275315,3.381916568078521,1.0,141.14867930648634,143.94149397290988,21.64883758081265,9.257151172017773,9.519445568294197,1.7362444227658984,141.9459090349805,150.13717884968264,40.81546249160308,9.663708392786518,9.582028541003607,3.9914999324212057,0.0461285853552957,-0.9960231362541966,135.4458531196047,8.848960673020823,141.14867930648634,9.257151172017773,141.9459090349805,9.663708392786518,144.29481379262552,150.40583047850413,151.60961742776703,True Stable,Class_07,Class 07: True Stable
